Artifact Type,Program/Capability,App ID,Source Hive,Last Used Start / Last Execution,Registry Path,Key Modified,Raw Hex
BAM,\Device\HarddiskVolume2\Windows\System32\oobe\FirstLogonAnim.exe,S-1-5-18,,2026-02-28T14:42:26.233175,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2026-03-05T02:44:43.138931,6E 89 E0 74 C0 A8 DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\csrss.exe,S-1-5-18,,2026-03-05T02:44:43.138931,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2026-03-05T02:44:43.138931,80 92 56 05 4A AC DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\explorer.exe,S-1-5-21-3532248484-1103847893-53588807-1000,,2026-02-28T14:41:10.341718,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1000,2026-02-28T14:41:10.623027,65 6B A4 47 C0 A8 DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\explorer.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-03-05T02:53:18.431371,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,71 F5 79 38 4B AC DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\ApplicationFrameHost.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-03-05T02:53:18.462710,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,9C BD 7E 38 4B AC DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\msinfo32.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-02-28T14:48:12.547041,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,D2 D6 4B 43 C1 A8 DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\PickerHost.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-02-28T14:50:06.264578,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,14 C2 13 87 C1 A8 DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\mmc.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-02-28T14:50:38.875714,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,94 D2 83 9A C1 A8 DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\cmd.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-03-03T10:47:36.072739,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,63 ED B9 25 FB AA DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
BAM,\Device\HarddiskVolume2\Windows\System32\msdt.exe,S-1-5-21-3532248484-1103847893-53588807-1001,,2026-03-02T22:47:56.647063,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-3532248484-1103847893-53588807-1001,2026-03-05T02:53:18.790465,E8 71 C8 9C 96 AA DC 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
